Index	X	Acquisition
0	-5.02181187806644	0
1	-4.99307281004541	0
2	-4.96433374202438	0
3	-4.93559467400335	0
4	-4.90685560598232	0
5	-4.87811653796129	0
6	-4.84937746994026	0
7	-4.82063840191923	0
8	-4.7918993338982	1
9	-4.76316026587716	0
10	-4.73442119785613	1
11	-4.7056821298351	1
12	-4.67694306181407	0
13	-4.64820399379304	0
14	-4.61946492577201	0
15	-4.59072585775098	0
16	-4.56198678972995	0
17	-4.53324772170892	0
18	-4.50450865368789	0
19	-4.47576958566686	0
20	-4.44703051764583	0
21	-4.4182914496248	0
22	-4.38955238160377	0
23	-4.36081331358274	0
24	-4.33207424556171	0
25	-4.30333517754068	0
26	-4.27459610951964	0
27	-4.24585704149861	0
28	-4.21711797347758	0
29	-4.18837890545655	0
30	-4.15963983743552	0
31	-4.13090076941449	0
32	-4.10216170139346	0
33	-4.07342263337243	0
34	-4.0446835653514	0
35	-4.01594449733037	0
36	-3.98720542930934	0
37	-3.95846636128831	0
38	-3.92972729326728	0
39	-3.90098822524625	0
40	-3.87224915722522	0
41	-3.84351008920419	0
42	-3.81477102118316	0
43	-3.78603195316212	0
44	-3.75729288514109	0
45	-3.72855381712006	0
46	-3.69981474909903	0
47	-3.671075681078	0
48	-3.64233661305697	0
49	-3.61359754503594	0
50	-3.58485847701491	0
51	-3.55611940899388	0
52	-3.52738034097285	1
53	-3.49864127295182	0
54	-3.46990220493079	0
55	-3.44116313690976	1
56	-3.41242406888873	0
57	-3.3836850008677	0
58	-3.35494593284667	0
59	-3.32620686482563	0
60	-3.2974677968046	0
61	-3.26872872878357	0
62	-3.23998966076254	0
63	-3.21125059274151	1
64	-3.18251152472048	0
65	-3.15377245669945	0
66	-3.12503338867842	1
67	-3.09629432065739	0
68	-3.06755525263636	0
69	-3.03881618461533	0
70	-3.0100771165943	0
71	-2.98133804857327	0
72	-2.95259898055224	0
73	-2.92385991253121	0
74	-2.89512084451018	0
75	-2.86638177648915	0
76	-2.83764270846811	0
77	-2.80890364044708	0
78	-2.78016457242605	1
79	-2.75142550440502	0
80	-2.72268643638399	0
81	-2.69394736836296	0
82	-2.66520830034193	0
83	-2.6364692323209	1
84	-2.60773016429987	1
85	-2.57899109627884	0
86	-2.55025202825781	0
87	-2.52151296023678	0
88	-2.49277389221575	0
89	-2.46403482419472	0
90	-2.43529575617369	0
91	-2.40655668815266	1
92	-2.37781762013163	0
93	-2.34907855211059	0
94	-2.32033948408956	0
95	-2.29160041606853	1
96	-2.2628613480475	0
97	-2.23412228002647	0
98	-2.20538321200544	1
99	-2.17664414398441	0
100	-2.14790507596338	0
101	-2.11916600794235	0
102	-2.09042693992132	0
103	-2.06168787190029	1
104	-2.03294880387926	0
105	-2.00420973585823	1
106	-1.9754706678372	0
107	-1.94673159981617	0
108	-1.91799253179514	2
109	-1.8892534637741	0
110	-1.86051439575307	0
111	-1.83177532773204	0
112	-1.80303625971101	1
113	-1.77429719168998	1
114	-1.74555812366895	0
115	-1.71681905564792	0
116	-1.68807998762689	0
117	-1.65934091960586	0
118	-1.63060185158483	0
119	-1.6018627835638	0
120	-1.57312371554277	0
121	-1.54438464752174	1
122	-1.51564557950071	0
123	-1.48690651147968	1
124	-1.45816744345865	0
125	-1.42942837543762	0
126	-1.40068930741658	0
127	-1.37195023939555	0
128	-1.34321117137452	0
129	-1.31447210335349	1
130	-1.28573303533246	1
131	-1.25699396731143	0
132	-1.2282548992904	0
133	-1.19951583126937	0
134	-1.17077676324834	0
135	-1.14203769522731	0
136	-1.11329862720628	0
137	-1.08455955918525	0
138	-1.05582049116422	1
139	-1.02708142314319	0
140	-0.998342355122157	0
141	-0.969603287101126	1
142	-0.940864219080096	1
143	-0.912125151059065	1
144	-0.883386083038035	1
145	-0.854647015017004	1
146	-0.825907946995973	0
147	-0.797168878974943	0
148	-0.768429810953912	0
149	-0.739690742932882	0
150	-0.710951674911851	0
151	-0.68221260689082	0
152	-0.65347353886979	0
153	-0.624734470848759	0
154	-0.595995402827728	1
155	-0.567256334806698	0
156	-0.538517266785667	1
157	-0.509778198764636	0
158	-0.481039130743606	0
159	-0.452300062722575	2
160	-0.423560994701545	1
161	-0.394821926680514	0
162	-0.366082858659483	0
163	-0.337343790638453	1
164	-0.308604722617422	0
165	-0.279865654596392	0
166	-0.251126586575361	0
167	-0.22238751855433	0
168	-0.1936484505333	0
169	-0.164909382512269	1
170	-0.136170314491238	0
171	-0.107431246470209	0
172	-0.078692178449178	0
173	-0.0499531104281474	0
174	-0.0212140424071168	0
175	0.0075250256266388	0
176	0.0362640951052082	0
177	0.065003170154823	0
178	0.09374225520271	0
179	0.122481354676096	1
180	0.151220473002209	0
181	0.179959614608275	0
182	0.208698783921521	2
183	0.237437985369174	0
184	0.266177223378462	0
185	0.29491650237661	0
186	0.323655826790847	0
187	0.352395201048399	0
188	0.381134629576493	0
189	0.409874116802355	1
190	0.438613667153214	1
191	0.467353285056296	0
192	0.496092974938828	1
193	0.524832741228037	0
194	0.55357258835115	0
195	0.582312520735393	1
196	0.611052542807995	0
197	0.639792658996181	0
198	0.66853287372718	0
199	0.697273191428217	0
200	0.726013616526519	3
201	0.754754153449315	0
202	0.78349480662383	0
203	0.812235580477291	1
204	0.840976479436927	0
205	0.869717507929963	1
206	0.898458670383627	1
207	0.927199971225146	0
208	0.955941414881746	0
209	0.984683005780654	1
210	1.0134247483491	1
211	1.04216664701431	0
212	1.0709087062035	1
213	1.09965093034391	0
214	1.12839332386277	1
215	1.1571358911873	0
216	1.18587863674472	1
217	1.21462156496227	2
218	1.24336468026717	1
219	1.27210798708665	1
220	1.30085148984793	1
221	1.32959519297825	1
222	1.35833910090482	1
223	1.38708321805488	1
224	1.41582754885565	0
225	1.44457209773437	1
226	1.47331686911825	0
227	1.50206186743453	1
228	1.53080709711042	0
229	1.55955256257317	0
230	1.58829826824999	2
231	1.61704421856811	1
232	1.64579041795476	1
233	1.67453687083717	0
234	1.70328358164256	1
235	1.73203055479815	0
236	1.76077779473119	1
237	1.78952530586889	0
238	1.81827309263848	2
239	1.84702115946719	1
240	1.87576951078225	1
241	1.90451815101087	0
242	1.9332670845803	1
243	1.96201631591775	1
244	1.99076584945045	0
245	2.01951568960563	2
246	2.04826584081052	0
247	2.07701630749234	2
248	2.10576709407833	1
249	2.1345182049957	0
250	2.16326964467168	0
