Index	X	Acquisition
0	-5.02181187806644	0
1	-4.99307281004541	0
2	-4.96433374202438	1
3	-4.93559467400335	0
4	-4.90685560598232	0
5	-4.87811653796129	0
6	-4.84937746994026	0
7	-4.82063840191923	0
8	-4.7918993338982	0
9	-4.76316026587716	1
10	-4.73442119785613	0
11	-4.7056821298351	0
12	-4.67694306181407	0
13	-4.64820399379304	0
14	-4.61946492577201	0
15	-4.59072585775098	2
16	-4.56198678972995	0
17	-4.53324772170892	0
18	-4.50450865368789	0
19	-4.47576958566686	0
20	-4.44703051764583	0
21	-4.4182914496248	0
22	-4.38955238160377	0
23	-4.36081331358274	0
24	-4.33207424556171	0
25	-4.30333517754068	0
26	-4.27459610951964	0
27	-4.24585704149861	0
28	-4.21711797347758	0
29	-4.18837890545655	1
30	-4.15963983743552	0
31	-4.13090076941449	0
32	-4.10216170139346	0
33	-4.07342263337243	0
34	-4.0446835653514	0
35	-4.01594449733037	0
36	-3.98720542930934	0
37	-3.95846636128831	0
38	-3.92972729326728	0
39	-3.90098822524625	0
40	-3.87224915722522	0
41	-3.84351008920419	0
42	-3.81477102118316	0
43	-3.78603195316212	0
44	-3.75729288514109	0
45	-3.72855381712006	0
46	-3.69981474909903	0
47	-3.671075681078	0
48	-3.64233661305697	0
49	-3.61359754503594	0
50	-3.58485847701491	0
51	-3.55611940899388	0
52	-3.52738034097285	0
53	-3.49864127295182	2
54	-3.46990220493079	0
55	-3.44116313690976	0
56	-3.41242406888873	0
57	-3.3836850008677	0
58	-3.35494593284667	0
59	-3.32620686482563	0
60	-3.2974677968046	0
61	-3.26872872878357	0
62	-3.23998966076254	0
63	-3.21125059274151	0
64	-3.18251152472048	0
65	-3.15377245669945	0
66	-3.12503338867842	0
67	-3.09629432065739	0
68	-3.06755525263636	1
69	-3.03881618461533	1
70	-3.0100771165943	0
71	-2.98133804857327	0
72	-2.95259898055224	0
73	-2.92385991253121	1
74	-2.89512084451018	2
75	-2.86638177648915	2
76	-2.83764270846811	0
77	-2.80890364044708	0
78	-2.78016457242605	0
79	-2.75142550440502	1
80	-2.72268643638399	0
81	-2.69394736836296	0
82	-2.66520830034193	0
83	-2.6364692323209	0
84	-2.60773016429987	0
85	-2.57899109627884	0
86	-2.55025202825781	0
87	-2.52151296023678	0
88	-2.49277389221575	0
89	-2.46403482419472	0
90	-2.43529575617369	1
91	-2.40655668815266	0
92	-2.37781762013163	1
93	-2.34907855211059	0
94	-2.32033948408956	1
95	-2.29160041606853	0
96	-2.2628613480475	1
97	-2.23412228002647	0
98	-2.20538321200544	0
99	-2.17664414398441	0
100	-2.14790507596338	0
101	-2.11916600794235	0
102	-2.09042693992132	0
103	-2.06168787190029	0
104	-2.03294880387926	1
105	-2.00420973585823	0
106	-1.9754706678372	0
107	-1.94673159981617	0
108	-1.91799253179514	1
109	-1.8892534637741	0
110	-1.86051439575307	1
111	-1.83177532773204	0
112	-1.80303625971101	0
113	-1.77429719168998	0
114	-1.74555812366895	1
115	-1.71681905564792	0
116	-1.68807998762689	0
117	-1.65934091960586	0
118	-1.63060185158483	0
119	-1.6018627835638	1
120	-1.57312371554277	0
121	-1.54438464752174	1
122	-1.51564557950071	1
123	-1.48690651147968	0
124	-1.45816744345865	0
125	-1.42942837543762	0
126	-1.40068930741658	2
127	-1.37195023939555	2
128	-1.34321117137452	0
129	-1.31447210335349	0
130	-1.28573303533246	0
131	-1.25699396731143	0
132	-1.2282548992904	1
133	-1.19951583126937	0
134	-1.17077676324834	0
135	-1.14203769522731	0
136	-1.11329862720628	0
137	-1.08455955918525	0
138	-1.05582049116422	1
139	-1.02708142314319	1
140	-0.998342355122157	1
141	-0.969603287101126	1
142	-0.940864219080096	0
143	-0.912125151059065	0
144	-0.883386083038035	3
145	-0.854647015017004	0
146	-0.825907946995973	1
147	-0.797168878974943	0
148	-0.768429810953912	1
149	-0.739690742932882	0
150	-0.710951674911851	0
151	-0.68221260689082	1
152	-0.65347353886979	0
153	-0.624734470848759	0
154	-0.595995402827728	1
155	-0.567256334806698	0
156	-0.538517266785667	0
157	-0.509778198764636	0
158	-0.481039130743606	0
159	-0.452300062722575	1
160	-0.423560994701545	2
161	-0.394821926680514	0
162	-0.366082858659483	0
163	-0.337343790638453	0
164	-0.308604722617422	2
165	-0.279865654596392	0
166	-0.251126586575361	1
167	-0.22238751855433	0
168	-0.1936484505333	0
169	-0.164909382512269	0
170	-0.136170314491238	1
171	-0.107431246470209	0
172	-0.078692178449178	1
173	-0.0499531104281474	0
174	-0.0212140424071168	1
175	0.0075250256266388	0
176	0.0362640951052082	0
177	0.065003170154823	2
178	0.09374225520271	0
179	0.122481354676096	0
180	0.151220473002209	0
181	0.179959614608275	0
182	0.208698783921521	0
183	0.237437985369174	1
184	0.266177223378462	1
185	0.29491650237661	0
186	0.323655826790847	0
187	0.352395201048399	1
188	0.381134629576493	1
189	0.409874116802355	2
190	0.438613667153214	0
191	0.467353285056296	2
192	0.496092974938828	1
193	0.524832741228037	0
194	0.55357258835115	1
195	0.582312520735393	0
196	0.611052542807995	0
197	0.639792658996181	1
198	0.66853287372718	1
199	0.697273191428217	0
200	0.726013616526519	0
201	0.754754153449315	0
202	0.78349480662383	0
203	0.812235580477291	0
204	0.840976479436927	0
205	0.869717507929963	0
206	0.898458670383627	0
207	0.927199971225146	0
208	0.955941414881746	0
209	0.984683005780654	1
210	1.0134247483491	0
211	1.04216664701431	0
212	1.0709087062035	0
213	1.09965093034391	0
214	1.12839332386277	0
215	1.1571358911873	2
216	1.18587863674472	2
217	1.21462156496227	0
218	1.24336468026717	0
219	1.27210798708665	0
220	1.30085148984793	0
221	1.32959519297825	1
222	1.35833910090482	0
223	1.38708321805488	0
224	1.41582754885565	1
225	1.44457209773437	0
226	1.47331686911825	0
227	1.50206186743453	0
228	1.53080709711042	0
229	1.55955256257317	1
230	1.58829826824999	0
231	1.61704421856811	1
232	1.64579041795476	0
233	1.67453687083717	1
234	1.70328358164256	1
235	1.73203055479815	0
236	1.76077779473119	0
237	1.78952530586889	1
238	1.81827309263848	0
239	1.84702115946719	0
240	1.87576951078225	0
241	1.90451815101087	1
242	1.9332670845803	2
243	1.96201631591775	1
244	1.99076584945045	0
245	2.01951568960563	1
246	2.04826584081052	1
247	2.07701630749234	1
248	2.10576709407833	0
249	2.1345182049957	0
250	2.16326964467168	2
